Anschrift,Ortskürzel,Streckennummer,Servicebezirk,Standortart,Ort_Lat,Ort_Lon,
Augsburg SH 1 ZBF/BTS 17643,A_GG,5503  (München Hbf - Augsburg Hbf),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,48.3580531930919,10.8927688365841,
Augsburg SH 1 ZBF/BTS 17643,A_GG,5503  (München Hbf - Augsburg Hbf),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,48.3580531930919,10.8927688365841,
Augsburg SH 2 ZBF / BTS 18238,A_HG,5302  (Augsburg Hbf - Ulm Hbf. W 267),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,48.3974977722153,10.8580468773537,
Ingling BTS 24911,A-00003,,,Mehrraum-Gebäudestandort,48.5495163947931,13.4400367827554,
Aachen Buschtu. Nord BTS 23711,AA--BNG,2600  (Köln Hbf - Aachen Hbf (DB-Grenze)),W-ESN-S4 (5S040). Opladen Süd. Servicebezirk,Mehrraum-Gebäudestandort,50.7443730196746,6.0656558084484,
Aachen Gemmenicher Tu. BTS 22870,AA--GTG,2552  (Aachen West. W 141 - (DB-Grenze)),Aachen 3T100. Aachen 3T100. Serviceteam,Mehrraum-Gebäudestandort,50.7566060692569,6.03273114898349,
Aalen BTS 24945,AAL---G,4710  (Stuttgart-Bad Cannstatt. W 5 - Nördlingen. W 118),Heilbronn 4T020. Heilbronn 4T020. Serviceteam,Mehrraum-Gebäudestandort,48.8432455568161,10.0955474592073,
Aachen Preuswald BTS 23712,AA-P--G,2600  (Köln Hbf - Aachen Hbf (DB-Grenze)),Aachen 3T100. Aachen 3T100. Serviceteam,Mehrraum-Gebäudestandort,50.7357894289087,6.04678398540007,
Aachen Preuswald BTS SNCB,AA-P-G2,2600  (Köln Hbf - Aachen Hbf (DB-Grenze)),Aachen 3T100. Aachen 3T100. Serviceteam,Mehrraum-Gebäudestandort,50.7358654141362,6.04697899997642,
Aachen Hbf BTS 21443,AA-W--G,2600  (Köln Hbf - Aachen Hbf (DB-Grenze)),W-ESN-S4 (5S040). Opladen Süd. Servicebezirk,Mehrraum-Gebäudestandort,50.7655505048021,6.08638979482794,
Aachen West BTS 22239,AAWT,2550  (Aachen Hbf. W 25 --Arnsberg (W.)-- - Kassel Hbf),Aachen 3T100. Aachen 3T100. Serviceteam,Mehrraum-Gebäudestandort,50.7811060495047,6.07000050769869,
Aschaffenburg BTS 25230,AB_G,5200  (Würzburg Hbf - Aschaffenburg Hbf),Rosenheim 4T080. Rosenheim 4T080. Serviceteam,Mehrraum-Gebäudestandort,49.9801122365204,9.14659185359164,
Altbach BTS 20722,ABCG,4700  (Stuttgart Hbf - Neu-Ulm. W 643),Heilbronn 4T020. Heilbronn 4T020. Serviceteam,Mehrraum-Gebäudestandort,48.7202761546704,9.38304991151663,
Altenbrunslar BTS 10741,ABRL--G,3900  (Kassel Hbf - Frankfurt (Main) Hbf),W-ESB-S3 (6S030). Kassel. Servicebezirk,Mehrraum-Gebäudestandort,51.1654190986953,9.44553432243172,
Aarbergtu. BSH ZBF BTS 20300,ABTG,4000  (Mannheim - Konstanz Landesgrenze),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,47.6130616503055,8.22878960582266,
Accum BTS 25390,ACCU--G,1552  ((Sande) Awanst Whv-Nordstrecke.W 50 - Wilhelmshaven Nord),N-HAN-S3 (3S030). Osnabrück. Servicebezirk,Mehrraum-Gebäudestandort,53.546656731726,8.00255395246529,
Achern BTS 22411,ACHG,4000  (Mannheim - Konstanz Landesgrenze),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.6304456725013,8.05734258775363,
Aichach BTS 25086,ACHH--G,5382  (Ingolstadt Hbf. W 205 - Augsburg-Hochzoll. W 408),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,48.4507150292169,11.1181012167567,
Altdöbern Funktionsgeb./BTS 14154,ADB_,6193  (Lübbenau (Spreewald). W 6 - Senftenberg. W 11),O-BLN-S2 (1S020). Berlin2. Servicebezirk,Mehrraum-Gebäudestandort,51.6527704371118,14.008876799307,
Adelsheim Tu. BTS 20716,ADLG,4120  (Mosbach-Neckarelz. W 37 - Würzburg-Heidingsfeld West. W 25),Würzburg 4T120. Würzburg 4T120. Serviceteam,Mehrraum-Gebäudestandort,49.4211077773151,9.40666080328181,
Adelebsen BTS 24218,ADLS--G,1801  (Göttingen. W 2 - Bodenfelde. W 3),N-HAN-S2 (3S020). Braunschweig. Servicebezirk,Mehrraum-Gebäudestandort,51.5802711118894,9.76371602424452,
Adamsdorf BTS 14969,ADMS,6325  (Neustrelitz Hbf. W 812 - Warnemünde. Gl 124 u. 130),Neubrandenburg 1T050. Neubrandenburg 1T050. Serviceteam,Mehrraum-Gebäudestandort,53.410268556648,13.0449888398497,
Adamsdorf Brücke BTS 25694,ADMSB-G,6325  (Neustrelitz Hbf. W 812 - Warnemünde. Gl 124 u. 130),Neubrandenburg 1T050. Neubrandenburg 1T050. Serviceteam,Mehrraum-Gebäudestandort,53.4100761163698,13.0449893603233,
Adelschlag BTS 17898,ADS_,5501  (München Hbf - Treuchtlingen),Nürnberg 4T110. Nürnberg 4T110. Serviceteam,Mehrraum-Gebäudestandort,48.8494416693095,11.1966582040081,
Ehlenbogen BTS 24157,AEHL--G,4880  (Eutingen im Gäu. W 503 - Schiltach),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.3627765294035,8.41249557573253,
Ehlenbogen BTS 24157,AEHL--G,4880  (Eutingen im Gäu. W 503 - Schiltach),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.3627765294035,8.41249557573253,
Afferde BTS 15419,AFFR,1820  (Elze (Han). W 9 - Löhne (Westf)),Hannover 2T010. Hannover 2T010. Serviceteam,Mehrraum-Gebäudestandort,52.0980207327462,9.40888362844947,
Affaltrach ZBF-Haus BTS 20738,AFTR,4950  (Crailsheim - Eppingen. W 62),Heilbronn 4T020. Heilbronn 4T020. Serviceteam,Mehrraum-Gebäudestandort,49.1377754096567,9.37888247848248,
Agathenburg BTS 13674,AGAG,1720  (Lehrte. W 154 - Cuxhaven),N-HMB-S1 (2S010). Hamburg. Servicebezirk,Mehrraum-Gebäudestandort,53.5642402466968,9.53071673344254,
Angersdorf BTS 17178,AGD_,6343  (Halle (Saale) Hbf. Gl 5W - Hann Münden. W 376),Halle 1T080. Halle 1T080. Serviceteam,Mehrraum-Gebäudestandort,51.4594379087664,11.9061017594774,
Aglasterhausen BTS 25019,AGLH--G,4110  (Heidelberg Karlstor - ehem. alter Bf Neckarelz),Würzburg 4T120. Würzburg 4T120. Serviceteam,Mehrraum-Gebäudestandort,49.3477748296755,8.98749488056673,
Angermünde BTS 23205,AGMG,6081  (Berlin-Gesundbrunnen. W 116 --Eberswalde-- - Stralsund),O-BLN-S2 (1S020). Berlin2. Servicebezirk,Mehrraum-Gebäudestandort,53.0174907371644,13.9958221628995,
Altengronau Nord BTS 10403,AGN_,3825  (Flieden. W 58 - Gemünden (Main). W 111),Gießen 3T020. Gießen 3T020. Serviceteam,Mehrraum-Gebäudestandort,50.2544672846026,9.6187496632581,
Altengronau Nord BTS 19180,AGNS,1733  (Hannover Hbf --Kassel-Wilhelmshöhe-- - Würzburg Hbf),Gießen 3T020. Gießen 3T020. Serviceteam,Mehrraum-Gebäudestandort,50.2572173938991,9.64888273192709,
Heidenheim Aufhausen Itzelberg Tu. ZBF/BTS 20745,AHAG,4760  (Aalen. W 81 - Ulm Hbf. W 123),Nürnberg 4T110. Nürnberg 4T110. Serviceteam,Mehrraum-Gebäudestandort,48.7241644227704,10.1483260939096,
